seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_draw,n_features,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,regime,0,106,0,10,False,2.9075309238278986,13.237861936664444,-0.02343638781864177,-0.010233875155992686,-0.011893492273440257,0.3102476662373041,0.10670485520712837,60,ok,0.9999990892575238,0.9999981785162266
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,mixed,0,252,0,10,False,4.76957299108361,10.173194291720668,-0.048253995565390895,-0.0068544491950077455,-0.013765799225080554,0.49089727223854907,0.10292268787085299,60,ok,0.999999765970365,0.9999995319407925
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,regime,5,106,5,60,False,3.0050614188886655,12.462836528878277,-0.01726439288820969,-0.007189810837206662,-0.00883694043381304,0.21516330633608607,0.07160030240435418,60,ok,0.5610728413910251,0.5074597833513504
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,mixed,5,252,5,60,False,6.988252027137066,41.20108455574261,-0.010470628143992244,-0.0037054922936573596,-0.004772528741705451,0.4314012355123628,0.0617323522158514,60,ok,0.9999999987682939,0.9999999975365879
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,regime,0,504,0,10,False,-0.7442743230604723,-1.5699816245096183,-0.10096536736009776,-0.02246571034687441,-0.03449755171432004,-0.15851377146721668,0.21297761666075568,60,ok,0.9999994530199859,0.9999989060403452
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,mixed,0,252,0,10,False,-1.8124881186361967,-2.7242631425538324,-0.10196813888599521,-0.017533806730154585,-0.022281082992679876,-0.27778804248192696,0.15326337294334821,60,ok,0.9999996100090748,0.9999992200183245
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,regime,5,504,5,60,False,-0.24513161366763808,-0.5422583474245104,-0.0894188438498309,-0.02248362928098219,-0.029857759338959483,-0.04848811449461965,0.19780441114528097,60,ok,0.9999999995556872,0.9999999991113744
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,mixed,5,252,5,60,False,-0.24513161344322468,-0.5422583469811455,-0.08941884385278964,-0.022483629283587134,-0.02985775934193022,-0.04848811445657887,0.19780441117118208,60,ok,0.9999999999216493,0.9999999998432987
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,regime,0,220,0,10,False,1.40801496128714,3.4137508197372664,-0.0038733466369332836,-0.0006631117600414253,-0.0011435025891399846,0.013222640256957581,0.009390979940206087,60,ok,0.9999999780471914,0.9999999560943834
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,mixed,0,252,0,10,False,-2.0295885736313406,-2.533296468834017,-0.11007007587077111,-0.014245686216575293,-0.016406745961732153,-0.2788401345277168,0.13738751693345216,60,ok,0.9999999786799896,0.9999999573599797
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,regime,5,220,5,60,False,1.7601135273033837,4.946306055521258,-0.03180421726596194,-0.008921706489457852,-0.011457486104470583,0.1573133924537413,0.089376844171385,60,ok,0.9999999982592725,0.9999999965185451
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,mixed,5,252,5,60,False,1.7199690786085817,5.0189918073596305,-0.031398293382332465,-0.00964655130251621,-0.011613048891399505,0.15758777725100073,0.09162244787475242,60,ok,0.6425109675417805,0.5406187495476856
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,regime,0,504,0,10,False,3.145115323250335,13.844382126852553,-0.01518859720452248,-0.0065761312261568,-0.007110024047401094,0.21027674367025367,0.06685819820843394,60,ok,0.9999997529988872,0.9999995059978478
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,mixed,0,252,0,10,False,-0.803718749099658,-1.7227704024963522,-0.047290681158806636,-0.010827555237809166,-0.015206724841595026,-0.08147098581428397,0.10136753174608583,60,ok,0.9999999667506254,0.9999999335012523
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,regime,5,504,5,60,False,0.9163699392293215,3.9489992014006465,-0.017480984277358558,-0.007162050401525523,-0.008540484277898072,0.0690323929509862,0.07533245035192153,60,ok,0.9999999636264407,0.9999999272528838
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,mixed,5,252,5,60,False,-0.8037187901307025,-1.7227704731720155,-0.047290682611473955,-0.010827555629782187,-0.015206725211652136,-0.08147099165919659,0.10136753384345738,60,ok,0.9999999996140728,0.9999999992281456
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,regime,0,504,0,10,False,-4.077639965608414,-4.522167620598877,-0.19248739966929296,-0.027224239916335175,-0.032012364280330934,-0.8704602861577516,0.21347158981650619,60,ok,0.9999999873413765,0.9999999746827531
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,mixed,0,252,0,10,False,-4.0776399710406395,-4.522167620619008,-0.19248740008045595,-0.027224239903195932,-0.032012364342366144,-0.8704602880209745,0.21347158998905627,60,ok,0.9999999794128873,0.9999999588257752
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,regime,5,504,5,60,False,-4.497752509533981,-4.533015868808162,-0.20438614950403977,-0.025732339778505135,-0.03130757365717237,-0.9264856590664098,0.20598858143095217,60,ok,0.8677838912399649,0.770529981051158
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,mixed,5,252,5,60,False,-4.591197686131352,-4.516184443399674,-0.23126128466725815,-0.02438940425043622,-0.03552034121694956,-1.044418616174895,0.2274828242159501,60,ok,0.792237379273576,0.670805371601939
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,regime,0,189,0,10,False,3.0485074142364357,12.145849786122628,-0.0068865432051088415,-0.00237293304575918,-0.003255680225479427,0.08364291931489547,0.0274373350460903,60,ok,0.999999886620086,0.9999997732401955
