bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,used_synth_fill,test_start
BASE,5.766598146032525,24.826537488117697,-0.014928016650695208,-0.005205043054976418,-0.005562266166360135,0.3706109650017298,0.06426856105045464,60,regime,0,0,low,False,2017-11-01
REGIME_VOL,5.766598146032526,24.8415810264521,-0.016656951896831473,-0.005811400765299186,-0.006210238323596251,0.41378502019885405,0.07175548039246364,60,regime,0,0,low,False,2017-11-01
VOL_SCALE_1.8x,5.766598146032526,24.930089508875707,-0.026758818365478,-0.009369077498957552,-0.010012079099448247,0.6670997370031136,0.11568340989081834,60,regime,0,0,low,False,2017-11-01
NEG_SHOCK_-10%,-0.23269710034524077,-0.43612205313603025,-0.11324590133227053,-0.0054852036811722195,-0.036427186725901596,-0.049389034998270125,0.21224602680907562,60,regime,0,0,low,False,2017-11-01
CORR_INFLATE_1.3,5.7771063875551425,24.652775676377548,-0.013424665265056257,-0.004801030695306252,-0.004878880303059114,0.33095526130988945,0.05728737522002758,60,regime,0,0,low,False,2017-11-01
WHIPSAW,1.5763461724519536,1.7600699682395333,-0.0899328085747585,-0.013882856450199923,-0.01658749754458647,0.1582880355318672,0.10041451446268015,60,regime,0,0,low,False,2017-11-01
SLOW_BLEED,3.0516807633881715,7.932979560091818,-0.02563797094058995,-0.006162063421114857,-0.006655554760319993,0.20338549943392806,0.06664704312259598,60,regime,0,0,low,False,2017-11-01
CRASH_2008,-1.40582640082852,-5.1905493940161165,-0.9774480932930768,-0.36753379181609164,-0.49841143911957175,-5.073492608324588,3.608904061934346,60,regime,0,0,low,False,2017-11-01
BASE,5.859821005847129,24.186253209155414,-0.0169080106802032,-0.004532254706503782,-0.005904714152961493,0.40894142757449864,0.06978735820879904,60,mixed,0,0,low,False,2017-11-01
REGIME_VOL,5.859821005847128,24.202786104076765,-0.018864801771442674,-0.005060236426810161,-0.006592579539680447,0.45658076217003546,0.07791718581752648,60,mixed,0,0,low,False,2017-11-01
VOL_SCALE_1.8x,5.85982100584713,24.30007112220809,-0.030291868938662203,-0.008158058471706807,-0.010628485475330686,0.7360945696340977,0.12561724477583827,60,mixed,0,0,low,False,2017-11-01
NEG_SHOCK_-10%,-0.05127296712017685,-0.09717356182390563,-0.11380227520672026,-0.005511501034055219,-0.03700597002759575,-0.011058572425501354,0.21568036816713898,60,mixed,0,0,low,False,2017-11-01
CORR_INFLATE_1.3,5.830109277908636,24.50471379200666,-0.01470901621537346,-0.00398261362055082,-0.005288988876382548,0.36044023251971163,0.061823923933207646,60,mixed,0,0,low,False,2017-11-01
WHIPSAW,1.787331587859721,1.9887920526852303,-0.0988632762480951,-0.013413005207771164,-0.019225908918989978,0.19661849810463602,0.11000672703383547,60,mixed,0,0,low,False,2017-11-01
SLOW_BLEED,3.362386555242617,9.985992396376014,-0.024205502308855875,-0.005452679217007605,-0.006457251602847352,0.24171596200669682,0.07188821333758144,60,mixed,0,0,low,False,2017-11-01
CRASH_2008,-1.3901724130876183,-5.1388709711494736,-0.9775866493413282,-0.36890583085419293,-0.4982098612377916,-5.023691654083431,3.613718418513031,60,mixed,0,0,low,False,2017-11-01
BASE,-1.214410286811701,-1.9973431548308607,-0.08965768824024034,-0.017891082919993407,-0.024200427446499754,-0.1790771698846034,0.14746018856176735,60,regime,0,0,low,False,2018-01-24
REGIME_VOL,-1.2144102868117006,-1.9633536540611416,-0.047508368744277774,-0.00931890876822959,-0.01260525014246447,-0.0932757293725619,0.07680742693430816,60,regime,0,0,low,False,2018-01-24
VOL_SCALE_1.8x,-1.2144102868117006,-2.055438066811712,-0.15682248519036202,-0.032203949255988136,-0.043560769403699566,-0.322338905792286,0.26542833941118127,60,regime,0,0,low,False,2018-01-24
NEG_SHOCK_-10%,-2.3974843166599933,-3.3154795001157287,-0.18069095883828934,-0.01826699558945833,-0.0515618183619119,-0.5990771698846032,0.24987740930009314,60,regime,0,0,low,False,2018-01-24
CORR_INFLATE_1.3,-1.226015474336256,-1.9823234369523357,-0.08261148544190722,-0.016310745524084045,-0.022115480439268614,-0.16376268375293937,0.13357309689879546,60,regime,0,0,low,False,2018-01-24
WHIPSAW,-2.393129600695007,-3.0037714531324116,-0.13030288937139467,-0.02198371746511498,-0.02377624889603956,-0.391400099354466,0.1635515683065374,60,regime,0,0,low,False,2018-01-24
SLOW_BLEED,-2.2693597186922907,-3.0293450993338644,-0.11431600695759458,-0.019447915513242386,-0.025620898909900307,-0.3463026354524051,0.15259926956487999,60,regime,0,0,low,False,2018-01-24
CRASH_2008,-1.5697149483921482,-5.75788786761316,-0.9792103137299207,-0.36568454996541233,-0.4947599783078888,-5.638183185267187,3.591851623151294,60,regime,0,0,low,False,2018-01-24
BASE,-1.5205937566872125,-2.2680809500135215,-0.09112701924519295,-0.01689457612030108,-0.02148763571304003,-0.20668345638153768,0.1359228626795241,60,mixed,0,0,low,False,2018-01-24
REGIME_VOL,-1.5205937566872127,-2.2266785346313647,-0.04834778973011211,-0.008799859362736326,-0.011192241283002549,-0.10765498558891137,0.07079799263640939,60,mixed,0,0,low,False,2018-01-24
VOL_SCALE_1.8x,-1.5205937566872134,-2.3388324701987306,-0.15906663954223133,-0.030410237016541948,-0.038677744283472065,-0.372030221486768,0.24466115282314338,60,mixed,0,0,low,False,2018-01-24
NEG_SHOCK_-10%,-2.599770659325478,-3.445048153337124,-0.18190847514699804,-0.018316052168377537,-0.04835872766180022,-0.6266834563815378,0.24105336143155548,60,mixed,0,0,low,False,2018-01-24
CORR_INFLATE_1.3,-1.4901575483224296,-2.218057933079576,-0.08340552606474416,-0.015533859199419136,-0.020032548172040924,-0.18499828875058116,0.12414679840990381,60,mixed,0,0,low,False,2018-01-24
WHIPSAW,-2.7469332501562285,-3.219429413473046,-0.130149269338813,-0.02075867363783857,-0.022732339050969916,-0.41900638585140015,0.152536063927862,60,mixed,0,0,low,False,2018-01-24
SLOW_BLEED,-2.6616188331449173,-3.2660692516778265,-0.11448285175130846,-0.018567237637970906,-0.02286520757480323,-0.37390892194933956,0.14048176894943895,60,mixed,0,0,low,False,2018-01-24
CRASH_2008,-1.5848386056245924,-5.801091962840992,-0.9792514352256002,-0.3665513397186124,-0.4952562709544073,-5.680727630487736,3.584420274926944,60,mixed,0,0,low,False,2018-01-24
