bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,test_start
BASE,2.9075309238278986,13.237861936664444,-0.02343638781864177,-0.010233875155992686,-0.011893492273440257,0.3102476662373041,0.10670485520712837,60,regime,0,0,low,2017-11-01
REGIME_VOL,2.9075309238278986,13.24361937562189,-0.026155217313455492,-0.011426063009536754,-0.01327901601771934,0.34638974278608026,0.1191353598158957,60,regime,0,0,low,2017-11-01
VOL_SCALE_1.8x,2.9075309238278986,13.278001098515618,-0.04205797206098871,-0.018420975280786837,-0.021408286092192464,0.5584457992271473,0.19206873937283106,60,regime,0,0,low,2017-11-01
NEG_SHOCK_-10%,-0.4803656783025876,-0.9163140285312832,-0.11977589597598193,-0.011250197220937189,-0.04088599551177512,-0.10975233376269591,0.2284766350304522,60,regime,0,0,low,2017-11-01
CORR_INFLATE_1.3,3.1932005538233277,14.830013474397829,-0.019185549295637205,-0.008610755862256283,-0.009483569145122488,0.28452195456802354,0.08910243806244984,60,regime,0,0,low,2017-11-01
WHIPSAW,0.7378387767025278,1.03827368306722,-0.0943149560317823,-0.016100696655983605,-0.01970173615660319,0.09792473676744151,0.132718338828811,60,regime,0,0,low,2017-11-01
SLOW_BLEED,1.3290070353613002,4.330368914982789,-0.033027717378686816,-0.009073458989859033,-0.0122656673509198,0.14302220066950225,0.10761583412582962,60,regime,0,0,low,2017-11-01
CRASH_2008,-1.4179502008146585,-5.238477181934779,-0.9777521552380187,-0.37025361375817717,-0.49822535214372693,-5.1219323548019124,3.6122089138667888,60,regime,0,0,low,2017-11-01
BASE,4.76957299108361,10.173194291720668,-0.048253995565390895,-0.0068544491950077455,-0.013765799225080554,0.49089727223854907,0.10292268787085299,60,mixed,0,0,low,2017-11-01
REGIME_VOL,4.76957299108361,10.193755698141809,-0.05376664005539056,-0.0076529532756675475,-0.015369436007854599,0.5480839934345771,0.11491259164272832,60,mixed,0,0,low,2017-11-01
VOL_SCALE_1.8x,4.769572991083609,10.315449116673157,-0.0856593910779101,-0.012338008551013944,-0.024778438605145,0.8836150900293882,0.1852608381675354,60,mixed,0,0,low,2017-11-01
NEG_SHOCK_-10%,0.30673398467068363,0.5604427846860416,-0.1265022481791167,-0.008875259254532019,-0.04420133854381338,0.0708972722385489,0.2311360194230378,60,mixed,0,0,low,2017-11-01
CORR_INFLATE_1.3,4.98874033934367,11.158804494442574,-0.03795058782188576,-0.005837595481464352,-0.010960711699346886,0.42348318995359646,0.08488779955408764,60,mixed,0,0,low,2017-11-01
WHIPSAW,1.8763800747611024,2.1324248262849643,-0.13063735674753363,-0.015303304746804506,-0.025440972520296992,0.2785743427686863,0.14846370760153907,60,mixed,0,0,low,2017-11-01
SLOW_BLEED,3.072109371601424,6.6481679544266825,-0.048685864871273354,-0.008389866291277687,-0.01495419714906776,0.32367180667074724,0.10535816519514868,60,mixed,0,0,low,2017-11-01
CRASH_2008,-1.365718572992702,-5.053423309094617,-0.977805110055258,-0.3672704607593353,-0.49819549305409466,-4.941263134905069,3.6180683433756546,60,mixed,0,0,low,2017-11-01
BASE,-0.7442743230604723,-1.5699816245096183,-0.10096536736009776,-0.02246571034687441,-0.03449755171432004,-0.15851377146721668,0.21297761666075568,60,regime,0,0,low,2018-01-24
REGIME_VOL,-0.7442743230604715,-1.5450317996970044,-0.05343896130410841,-0.01170168994645022,-0.017968701983588437,-0.0825648945576252,0.11093341796088926,60,regime,0,0,low,2018-01-24
VOL_SCALE_1.8x,-0.7442743230604724,-1.613070622936785,-0.1768830109381836,-0.040438278624373936,-0.062095593085776085,-0.28532478864099,0.3833597099893602,60,regime,0,0,low,2018-01-24
NEG_SHOCK_-10%,-1.976233227357564,-3.031691877539592,-0.1908220870838354,-0.025736541405908742,-0.05928310908192876,-0.5785137714672165,0.2927355756692501,60,regime,0,0,low,2018-01-24
CORR_INFLATE_1.3,-0.8088655966314356,-1.6206858608429322,-0.09128523210129502,-0.01923247066604667,-0.029826289593457175,-0.1479446849703342,0.18290391578830625,60,regime,0,0,low,2018-01-24
WHIPSAW,-1.658200484235713,-2.5966875318561264,-0.14281144588544437,-0.02512606849630824,-0.032638968940603405,-0.3708367009370793,0.22363803681314387,60,regime,0,0,low,2018-01-24
SLOW_BLEED,-1.4917227887919773,-2.531589518465415,-0.12866984740578058,-0.024000717304743086,-0.035941330123111036,-0.32573923703501845,0.2183644571782722,60,regime,0,0,low,2018-01-24
CRASH_2008,-1.5644934628401688,-5.741187923323701,-0.9794575248393524,-0.3625837382318973,-0.49262223598171734,-5.6232497130162145,3.594294157552959,60,regime,0,0,low,2018-01-24
BASE,-1.8124881186361967,-2.7242631425538324,-0.10196813888599521,-0.017533806730154585,-0.022281082992679876,-0.27778804248192696,0.15326337294334821,60,mixed,0,0,low,2018-01-24
