date,Sequence_1,Sequence_2,Sequence_3,Sequence_4,Sequence_5,Sequence_6,Sequence_7,Sequence_8,Sequence_9,Sequence_10,Sequence_11,Sequence_12,Sequence_13,Sequence_14,Sequence_15,Sequence_16,Sequence_17,Sequence_18,Sequence_19,Sequence_20
2013-01-02,0.011962942,0.022288283,0.030071026,0.010223143,0.023692949,-0.0003934189,0.038712516,0.024596423,-0.015883023,0.0047224653,0.04872501,0.014558604,0.0024150999,0.04903334,0.015395799,0.0170497,0.004591371,0.018603178,0.041420046,0.006067938
2013-01-03,0.0,0.0,0.0015823033,0.0038518857,0.010329466,0.017472034,0.023793759,0.008616874,0.008848613,0.009907632,-0.0010546364,-0.012311087,0.0113638025,0.005929019,0.0,0.0013462127,-0.0037818272,0.0025107819,-0.013497735,0.0100199655
2013-01-04,0.010038594,0.0068118423,-0.007938964,-0.0028081562,0.00854762,-0.01746271,0.0059240954,-0.003957255,0.06501896,0.0033455666,0.005172878,0.09778833,0.016730288,0.031359136,0.0031478489,0.00027395942,-0.002919346,0.0044400175,-3.727996e-06,0.010227656
2013-01-07,-0.001628417,0.0017105073,-0.00050049496,-0.00044091878,0.0027120071,0.023394251,-0.0059755025,0.0149888145,0.0015598442,0.027278436,0.0048122485,-0.029843103,0.004592532,0.015879747,0.006547825,-0.0019688995,-0.017513417,-0.0018359112,0.019360766,-0.05893322
2013-01-08,-0.016736945,0.0052564517,-0.003657502,-0.0005125765,-0.0016963211,-0.033807613,-0.020588636,0.010281733,-0.004899622,0.0,0.016760109,-0.00096839765,-0.0032806601,0.001271979,0.0005670287,0.008228372,0.023589645,0.0016930252,0.005115137,-0.008022102
2013-01-09,0.013064974,0.0079963785,-0.034882944,-0.01904305,0.000727276,0.004100899,0.00764749,-0.012891348,0.004100106,0.014019596,-0.042048816,-0.006043874,0.008190774,0.017990889,0.0006248341,0.009049065,0.01290878,0.0041080015,0.004252702,0.0035401382
2013-01-10,0.018648366,0.010440755,0.019884653,0.028938549,0.0009779638,-0.002465679,0.011430092,0.0019976012,-0.00093463797,-0.013403349,0.018536266,-0.0012112436,0.008115512,0.021275043,-0.037435632,0.023369122,0.0048645274,-0.0016083851,-0.0031969883,-0.0065079154
2013-01-11,0.007363473,0.0008006722,0.018593209,0.018301366,-0.0006520979,-0.003862422,-0.009053153,0.007544523,-0.012811137,0.02289177,0.02123697,0.0026600538,0.0026360254,-0.0027505113,0.0110014975,-0.000732587,0.021238979,-0.002342203,-0.0034498961,0.022760047
2013-01-14,0.006488779,-0.007932851,0.011336244,0.018610833,0.0,0.014241482,0.012765734,-0.023816891,-0.0012839444,0.020835439,0.008713421,-0.0056556887,-0.000290644,0.00037337953,-0.051539328,0.013790927,-7.130717e-06,0.0034005381,-0.007237651,0.006330397
2013-01-15,-0.009473304,-0.0029734508,0.013755772,0.012902172,-0.0051473626,0.0026459605,0.0,0.0068326723,0.013621699,0.016699063,0.0068111415,0.0051350826,0.0047548236,0.0032340677,0.01475325,-0.0019734039,0.0062411386,0.0030290026,-0.004977034,0.008568476
2013-01-16,0.020973666,-0.010100015,0.011457332,-0.005846667,0.0043307333,0.015478754,-0.018698804,-0.007567207,0.0,0.0071568494,-0.007262765,0.014965467,-0.02876819,-0.02072738,0.010683957,-0.013026435,0.0012728292,0.001182542,-0.06624829,0.009888714
2013-01-17,0.01770728,0.004055858,-0.010958271,0.0075401864,-0.0013524626,-0.0004440964,-0.019452367,-0.00277169,0.014818634,0.0,0.004566151,0.015938435,-0.0010666831,-0.001831535,0.019170383,-0.0038548077,0.0040105493,0.0057573947,-0.009268814,0.0030426725
2013-01-18,0.0053091757,0.004588103,-0.0030053009,0.013477073,0.023730911,0.0060687005,0.007975459,-0.0008171125,0.012990689,-0.00918427,0.014316883,-0.041138805,0.00038347297,0.09796953,-0.023334488,0.011111719,-0.003982774,0.0140211675,-0.003083374,-0.115349606
2013-01-21,0.007009604,0.0029087076,-0.02210461,-0.0018258191,0.00027890812,0.0033585527,-0.005492138,0.04640595,0.0,-0.008754573,-0.004048003,-0.017044855,0.0016497397,0.018516429,0.0539314,0.005737093,-0.013572627,-5.825835e-05,0.0012714969,0.01187296
2013-01-22,0.008282535,0.02341124,0.0014042063,-0.0014830091,0.015206194,0.0015066289,0.010423997,0.012397815,0.028993536,0.0079456195,-0.086054735,0.058189627,0.005224594,-0.016486019,-0.00076005014,0.011737606,-0.009612647,-0.0007630407,0.052590623,-0.009292701
2013-01-23,-0.01913798,0.00056302786,0.023799883,-0.0009996662,0.01234167,0.022364926,-0.018578215,-0.05614916,-0.011831506,0.0126691805,0.009408673,0.019453235,-0.0012102413,0.001406564,-0.046661407,-0.00069545436,-0.0014310187,0.012907539,0.013085666,0.009934582
2013-01-24,-0.000944006,0.010863994,-0.0008591892,0.008578548,-0.0043879827,0.0110147735,0.016143719,0.0014347959,0.0024901084,0.00035345525,0.00019357848,0.009712493,-0.0039110384,0.009883842,0.06705183,-0.0066627157,0.030670332,0.008482862,0.01042396,0.0012868426
2013-01-25,0.016710976,0.003196459,0.0036397397,-0.008515679,-0.0027489231,-0.0013992214,0.036935885,0.008207796,0.002312123,0.029120376,-0.01300226,0.009156497,-0.0010461448,-0.014235687,-0.0074623055,0.002494774,0.009307216,-0.000111693866,-0.00015516713,-0.0046174824
2013-01-28,-0.023005357,0.027797556,0.028944848,-0.015693365,0.024542157,0.011800999,0.058437306,0.00095950684,-0.02303255,-0.022949066,-0.009060072,0.0,-0.014264196,0.0239782,0.0023635237,0.00027174124,0.0,-0.01279315,-0.0016391787,0.0014718567
2013-01-29,0.012798921,0.004368825,0.021717176,-0.004312024,-0.003794286,-0.010916877,0.043078005,0.009735383,0.008535268,0.009881806,-0.003772376,0.010418246,0.009046177,0.0077107153,0.0077682133,0.007670409,-0.0003913571,-0.0022808225,-0.018592088,0.0040208874
2013-01-30,0.0020996714,-0.00038014876,0.008464192,0.009095627,0.00053512113,0.01179849,0.005992793,-0.0094319815,0.0070423638,0.00694688,0.05677385,0.008386553,0.0003993337,0.011124083,-0.0017426267,-0.0008552268,0.009876798,-0.0015320374,0.009737464,0.0060095913
2013-01-31,-0.008949114,-0.00087905565,0.009009534,0.015220367,0.0,-0.0076566404,-0.00017738059,0.0017193715,-0.0029478788,0.013755955,0.01374487,0.00075484486,-0.0038547937,0.020078572,0.016568225,0.009290056,0.00021967271,-0.0047687176,-0.0024693059,-0.00072997366
2013-02-01,-0.0018967352,0.007557236,0.005650319,-0.0016503149,0.007006863,0.0027047074,-0.0034106395,-0.017558776,0.01016142,0.0018897511,-0.001481115,0.003730499,0.011283548,-0.020490782,0.028408043,0.011260331,0.010201564,-0.020166071,-0.0044907387,0.008207988
2013-02-04,-0.008138557,0.0024478347,-0.012217491,0.032506034,-0.00029773437,0.0079399645,-0.00390893,0.0003793646,-0.0080653615,-0.0009080641,0.03583067,0.015281868,0.004207849,0.010618737,0.0011880213,-0.00050004676,0.004517273,-0.0054860464,0.011904967,0.014851319
2013-02-05,0.002046998,-0.0028509994,0.023499511,0.0,-0.0077480986,-0.016667588,0.024727883,0.022762408,-0.107440524,0.0013899021,-0.013240683,-0.07563829,-0.001537583,0.003717485,0.02568383,0.009083959,0.0021267384,0.0063031097,-0.0064814077,0.010982721
2013-02-06,-0.0068420693,0.010968269,0.005483782,0.00702558,0.01596009,0.0168124,0.0006834983,0.0005222419,0.0007636412,-0.0016678753,0.010717083,0.0057119178,0.0014029648,0.003714182,-0.006197158,0.001346324,0.015310635,-0.0019353357,0.023024831,-0.005564543
2013-02-07,-0.02501824,0.004383953,0.0128356805,0.013158057,-0.0036768115,-0.0029435016,0.0029993316,0.0038733205,0.016551817,0.0045959386,0.03154293,0.015421661,0.010693978,0.007002235,0.0005808508,0.0040736264,0.00022707257,0.023242844,0.013677564,-0.0012019239
2013-02-08,0.012752434,0.0014640972,0.017170437,-0.004303618,0.0036946388,-0.004276736,0.026118726,0.01605261,-0.01393111,0.009781831,0.0034843818,-0.00011610433,-0.037384525,-0.00013329074,0.0,0.011289181,0.0127566755,-0.008185104,-8.732101e-05,0.006921909
2013-02-11,0.0125569375,0.0051024295,-0.008002152,0.0030856493,0.013683324,-0.016651947,-0.0046848156,-0.0060910275,-0.100599386,0.0020396116,0.0040992526,0.008805637,-0.0037971903,0.0033996312,-2.095897e-05,-0.013318517,0.010908665,0.012943251,-0.0010220008,0.011326234
2013-02-12,-0.017135026,-0.0077023664,0.0012267535,-0.0010311349,-0.003140462,0.021904364,-0.0010585763,-0.013128353,0.027394364,-0.045497686,0.015632156,0.008577247,0.0021209214,0.008380322,-0.028522838,-0.0008159303,0.0025017874,-0.0013169557,0.009765633,0.0015998501
2013-02-13,0.0276992,0.00074947026,0.00017786636,0.0013391882,0.0022195,-0.015426802,0.006176705,-0.0024316402,0.010807215,-0.006485043,-0.0024747206,0.014245184,-0.010100724,0.0032696172,-0.0044315015,-0.0032048358,0.0037091002,-0.012088315,0.00092847773,-0.0014918942
